ticker|company|date|close
SWRAY|Swire Pacific Limited|2007-11-15|12.7
SWRAY|Swire Pacific Limited|2007-11-14|13.03
SWRAY|Swire Pacific Limited|2007-11-13|13.05
SWRAY|Swire Pacific Limited|2007-11-12|12.8
SWRAY|Swire Pacific Limited|2007-11-09|12.88
SWRAY|Swire Pacific Limited|2007-11-08|12.6
SWRAY|Swire Pacific Limited|2007-11-07|13.48
SWRAY|Swire Pacific Limited|2007-11-06|13.25
SWRAY|Swire Pacific Limited|2007-11-05|12.85
SWRAY|Swire Pacific Limited|2007-11-02|13.15
SWRAY|Swire Pacific Limited|2007-11-01|13.83
SWRAY|Swire Pacific Limited|2007-10-31|14.35
SWRAY|Swire Pacific Limited|2007-10-30|14.85
SWRAY|Swire Pacific Limited|2007-10-29|14.9
SWRAY|Swire Pacific Limited|2007-10-26|13.3
SWRAY|Swire Pacific Limited|2007-10-25|12.65
SWRAY|Swire Pacific Limited|2007-10-24|12.65
SWRAY|Swire Pacific Limited|2007-10-23|12.8
SWRAY|Swire Pacific Limited|2007-10-22|12.7
SWRAY|Swire Pacific Limited|2007-10-19|12.95
SWRAY|Swire Pacific Limited|2007-10-18|13.0
SWRAY|Swire Pacific Limited|2007-10-17|12.65
SWRAY|Swire Pacific Limited|2007-10-16|12.35
SWRAY|Swire Pacific Limited|2007-10-15|12.6
SWRAY|Swire Pacific Limited|2007-10-12|12.7
SWRAY|Swire Pacific Limited|2007-10-11|12.75
SWRAY|Swire Pacific Limited|2007-10-10|12.55
SWRAY|Swire Pacific Limited|2007-10-09|12.6
SWRAY|Swire Pacific Limited|2007-10-08|12.3
SWRAY|Swire Pacific Limited|2007-10-05|12.2
SWRAY|Swire Pacific Limited|2007-10-04|12.05
SWRAY|Swire Pacific Limited|2007-10-03|12.3
SWRAY|Swire Pacific Limited|2007-10-02|12.45
SWRAY|Swire Pacific Limited|2007-10-01|12.35
SWRAY|Swire Pacific Limited|2007-09-28|12.25
SWRAY|Swire Pacific Limited|2007-09-27|12.15
SWRAY|Swire Pacific Limited|2007-09-26|12.05
SWRAY|Swire Pacific Limited|2007-09-25|12.05
SWRAY|Swire Pacific Limited|2007-09-24|12.4
SWRAY|Swire Pacific Limited|2007-09-21|12.45
SWRAY|Swire Pacific Limited|2007-09-20|12.05
SWRAY|Swire Pacific Limited|2007-09-19|12.15
SWRAY|Swire Pacific Limited|2007-09-18|12.05
SWRAY|Swire Pacific Limited|2007-09-17|12.0
SWRAY|Swire Pacific Limited|2007-09-14|12.0
SWRAY|Swire Pacific Limited|2007-09-13|11.95
SWRAY|Swire Pacific Limited|2007-09-12|11.55
SWRAY|Swire Pacific Limited|2007-09-11|11.3
SWRAY|Swire Pacific Limited|2007-09-10|11.35
SWRAY|Swire Pacific Limited|2007-09-07|11.4
SWRAY|Swire Pacific Limited|2007-09-06|11.44
SWRAY|Swire Pacific Limited|2007-09-05|11.25
SWRAY|Swire Pacific Limited|2007-09-04|11.15
SWRAY|Swire Pacific Limited|2007-08-31|11.22
SWRAY|Swire Pacific Limited|2007-08-30|11.05
SWRAY|Swire Pacific Limited|2007-08-29|10.85
SWRAY|Swire Pacific Limited|2007-08-28|10.9
SWRAY|Swire Pacific Limited|2007-08-27|11.0
SWRAY|Swire Pacific Limited|2007-08-24|10.85
SWRAY|Swire Pacific Limited|2007-08-23|11.05
SWRAY|Swire Pacific Limited|2007-08-22|10.9
SWRAY|Swire Pacific Limited|2007-08-21|10.7
SWRAY|Swire Pacific Limited|2007-08-20|10.6
SWRAY|Swire Pacific Limited|2007-08-17|10.6
SWRAY|Swire Pacific Limited|2007-08-16|10.45
SWRAY|Swire Pacific Limited|2007-08-15|10.85
SWRAY|Swire Pacific Limited|2007-08-14|11.05
SWRAY|Swire Pacific Limited|2007-08-13|11.1
SWRAY|Swire Pacific Limited|2007-08-10|10.9
SWRAY|Swire Pacific Limited|2007-08-09|11.25
SWRAY|Swire Pacific Limited|2007-08-08|11.35
SWRAY|Swire Pacific Limited|2007-08-07|11.0
SWRAY|Swire Pacific Limited|2007-08-06|11.15
SWRAY|Swire Pacific Limited|2007-08-03|11.2
SWRAY|Swire Pacific Limited|2007-08-02|11.25
SWRAY|Swire Pacific Limited|2007-08-01|11.3
SWRAY|Swire Pacific Limited|2007-07-31|11.35
SWRAY|Swire Pacific Limited|2007-07-30|11.5
SWRAY|Swire Pacific Limited|2007-07-27|11.45
SWRAY|Swire Pacific Limited|2007-07-26|11.65
SWRAY|Swire Pacific Limited|2007-07-25|11.8
SWRAY|Swire Pacific Limited|2007-07-24|11.85
SWRAY|Swire Pacific Limited|2007-07-23|11.7
SWRAY|Swire Pacific Limited|2007-07-20|11.6
SWRAY|Swire Pacific Limited|2007-07-19|11.6
SWRAY|Swire Pacific Limited|2007-07-18|11.65
SWRAY|Swire Pacific Limited|2007-07-17|11.85
SWRAY|Swire Pacific Limited|2007-07-16|11.65
SWRAY|Swire Pacific Limited|2007-07-13|11.65
TJSCF|Tianjin Development Holdings Ltd|2025-08-29|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-28|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-27|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-26|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-25|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-22|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-21|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-20|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-19|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-18|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-15|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-14|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-13|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-12|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-11|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-08|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-07|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-06|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-05|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-04|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-08-01|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-31|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-30|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-29|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-28|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-25|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-24|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-23|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-22|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-21|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-18|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-17|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-16|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-15|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-14|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-11|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-10|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-09|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-08|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-07|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-03|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-02|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-07-01|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-06-30|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-06-27|0.2325
TJSCF|Tianjin Development Holdings Ltd|2025-06-26|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-25|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-24|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-23|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-20|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-18|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-17|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-16|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-13|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-12|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-11|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-10|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-09|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-06|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-05|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-04|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-03|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-06-02|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-30|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-29|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-28|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-27|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-23|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-22|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-21|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-20|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-19|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-16|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-15|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-14|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-13|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-12|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-09|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-08|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-07|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-06|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-05|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-02|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-05-01|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-30|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-29|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-28|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-25|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-24|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-23|0.2436
TJSCF|Tianjin Development Holdings Ltd|2025-04-22|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-21|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-17|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-16|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-15|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-14|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-11|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-10|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-09|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-08|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-07|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-04|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-03|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-02|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-04-01|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-31|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-28|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-27|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-26|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-25|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-24|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-21|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-20|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-19|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-18|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-17|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-14|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-13|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-12|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-11|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-07|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-06|0.2571
TJSCF|Tianjin Development Holdings Ltd|2025-03-05|0.2571
